type,name,id,self_size,edge_count,trace_node_id,detachedness
code,487,1527,128,2,0,0
code,488,1529,128,2,0,0
code,489,1531,128,2,0,0
code,490,1533,128,2,0,0
code,491,1535,128,2,0,0
code,492,1537,128,2,0,0
code,493,1539,128,3,0,0
code,494,1541,128,3,0,0
code,495,1543,128,3,0,0
code,496,1545,128,2,0,0
code,497,1547,128,2,0,0
code,498,1549,128,2,0,0
code,499,1551,128,2,0,0
code,500,1553,128,2,0,0
code,501,1555,128,2,0,0
code,502,1557,128,2,0,0
code,503,1559,128,2,0,0
code,504,1561,128,2,0,0
code,505,1563,128,2,0,0
code,506,1565,128,2,0,0
code,507,1567,128,3,0,0
code,508,1569,128,3,0,0
code,509,1571,128,3,0,0
code,510,1573,128,2,0,0
code,511,1575,128,2,0,0
code,512,1577,128,2,0,0
code,513,1579,128,2,0,0
code,514,1581,128,2,0,0
code,515,1583,128,2,0,0
code,516,1585,128,2,0,0
code,517,1587,128,3,0,0
code,518,1589,128,2,0,0
code,519,1591,128,2,0,0
code,520,1593,128,2,0,0
code,521,1595,128,2,0,0
code,522,1597,128,2,0,0
code,523,1599,128,2,0,0
code,524,1601,128,2,0,0
code,525,1603,128,2,0,0
code,526,1605,128,2,0,0
code,527,1607,128,2,0,0
code,528,1609,128,2,0,0
code,529,1611,128,2,0,0
code,530,1613,128,2,0,0
code,531,1615,128,2,0,0
code,532,1617,128,2,0,0
code,533,1619,128,2,0,0
code,534,1621,128,2,0,0
code,535,1623,128,2,0,0
code,536,1625,128,2,0,0
code,537,1627,128,2,0,0
code,538,1629,128,2,0,0
code,539,1631,128,2,0,0
code,540,1633,128,2,0,0
code,541,1635,128,2,0,0
code,542,1637,128,2,0,0
code,543,1639,128,2,0,0
code,544,1641,128,2,0,0
code,545,1643,128,2,0,0
code,546,1645,128,2,0,0
code,547,1647,128,2,0,0
code,548,1649,128,2,0,0
code,549,1651,128,2,0,0
code,550,1653,128,2,0,0
code,551,1655,128,2,0,0
code,552,1657,128,2,0,0
code,553,1659,128,2,0,0
code,554,1661,128,2,0,0
code,555,1663,128,2,0,0
code,556,1665,128,2,0,0
code,557,1667,128,2,0,0
code,558,1669,128,2,0,0
code,559,1671,128,2,0,0
code,560,1673,128,2,0,0
code,561,1675,128,2,0,0
code,562,1677,128,2,0,0
code,563,1679,128,2,0,0
code,564,1681,128,2,0,0
code,565,1683,128,2,0,0
code,566,1685,128,2,0,0
code,567,1687,128,2,0,0
code,568,1689,128,3,0,0
code,569,1691,128,3,0,0
code,570,1693,128,3,0,0
code,571,1695,128,3,0,0
code,572,1697,128,3,0,0
code,573,1699,128,3,0,0
code,574,1701,128,2,0,0
code,575,1703,128,2,0,0
code,576,1705,128,2,0,0
code,577,1707,128,2,0,0
code,578,1709,128,2,0,0
code,579,1711,128,2,0,0
code,580,1713,128,2,0,0
code,581,1715,128,2,0,0
code,582,1717,128,2,0,0
code,583,1719,128,2,0,0
code,584,1721,128,2,0,0
code,585,1723,128,2,0,0
code,586,1725,128,2,0,0
code,587,1727,128,2,0,0
code,588,1729,128,2,0,0
code,589,1731,128,2,0,0
code,590,1733,128,2,0,0
code,591,1735,128,2,0,0
code,592,1737,128,3,0,0
code,593,1739,128,3,0,0
code,594,1741,128,2,0,0
code,595,1743,128,2,0,0
code,596,1745,128,2,0,0
code,597,1747,128,3,0,0
code,598,1749,128,2,0,0
code,599,1751,128,2,0,0
code,600,1753,128,2,0,0
code,601,1755,128,3,0,0
code,602,1757,128,3,0,0
code,603,1759,128,3,0,0
code,604,1761,128,3,0,0
code,605,1763,128,3,0,0
code,606,1765,128,3,0,0
code,607,1767,128,3,0,0
code,608,1769,128,2,0,0
code,609,1771,128,2,0,0
code,610,1773,128,2,0,0
code,611,1775,128,3,0,0
code,612,1777,128,3,0,0
code,613,1779,128,3,0,0
code,614,1781,128,3,0,0
code,615,1783,128,2,0,0
code,616,1785,128,2,0,0
code,617,1787,128,3,0,0
code,618,1789,128,3,0,0
code,619,1791,128,3,0,0
code,620,1793,128,3,0,0
code,621,1795,128,3,0,0
code,622,1797,128,3,0,0
code,623,1799,128,2,0,0
code,624,1801,128,2,0,0
code,625,1803,128,2,0,0
code,626,1805,128,2,0,0
code,627,1807,128,2,0,0
code,628,1809,128,2,0,0
code,629,1811,128,3,0,0
code,630,1813,128,3,0,0
code,631,1815,128,3,0,0
code,632,1817,128,3,0,0
code,633,1819,128,3,0,0
code,634,1821,128,3,0,0
code,635,1823,128,3,0,0
code,636,1825,128,3,0,0
code,637,1827,128,3,0,0
code,638,1829,128,3,0,0
code,639,1831,128,3,0,0
